slug	name	category	url
icon-optifade-tee	Icon Optifade Tee	shirt	https://www.sitkagear.com/products/icon-optifade-tee
icon-patch-hi-pro-trucker	Icon Patch Hi Pro Trucker	hat	https://www.sitkagear.com/products/icon-patch-hi-pro-trucker
icon-plus-mid-pro-trucker	Icon Plus Mid Pro Trucker	hat	https://www.sitkagear.com/products/icon-plus-mid-pro-trucker
icon-pullover-hoodie	Icon Pullover Hoodie	hoody	https://www.sitkagear.com/products/icon-pullover-hoodie
icon-scales-tech-tee	Icon Scales Tech Tee	shirt	https://www.sitkagear.com/products/icon-scales-tech-tee
icon-tee	Icon Tee	shirt	https://www.sitkagear.com/products/icon-tee
incinerator-aerolite-bib	Incinerator Aerolite Bib	bib	https://www.sitkagear.com/products/incinerator-aerolite-bib
incinerator-aerolite-jacket	Incinerator Aerolite Jacket	jacket	https://www.sitkagear.com/products/incinerator-aerolite-jacket
incinerator-flip-mitt	Incinerator Flip Mitt	glove	https://www.sitkagear.com/products/incinerator-flip-mitt
insignia-unstructured-snapback	Insignia Unstructured Snapback	hat	https://www.sitkagear.com/products/insignia-unstructured-snapback
intercept-pant	Intercept Pant	pant	https://www.sitkagear.com/products/intercept-pant
jetstream-insulated-ws-beanie	Jetstream Insulated WS Beanie	hat	https://www.sitkagear.com/products/jetstream-insulated-ws-beanie
jetstream-insulated-ws-muff	Jetstream Insulated WS Muff	accessory	https://www.sitkagear.com/products/jetstream-insulated-ws-muff
jetstream-jacket	Jetstream Jacket	jacket	https://www.sitkagear.com/products/jetstream-jacket
jetstream-jacket-2024	Jetstream Jacket (2024)	jacket	https://www.sitkagear.com/products/jetstream-jacket-2024
jetstream-jacket-foh-edition	Jetstream Jacket (FOH Edition)	jacket	https://www.sitkagear.com/products/jetstream-jacket-foh-edition
jetstream-lt-jacket	Jetstream LT Jacket	jacket	https://www.sitkagear.com/products/jetstream-lt-jacket
jetstream-vest	Jetstream Vest	vest	https://www.sitkagear.com/products/jetstream-vest
jetstream-vest-2021	Jetstream Vest (2021)	vest	https://www.sitkagear.com/products/jetstream-vest-2021
jetstream-ws-beanie	Jetstream WS Beanie	hat	https://www.sitkagear.com/products/jetstream-ws-beanie
jetstream-ws-glove	Jetstream WS Glove	glove	https://www.sitkagear.com/products/jetstream-ws-glove
kelvin-aerolite-30-sleeping-bag	Kelvin Aerolite 30 Sleeping Bag	accessory	https://www.sitkagear.com/products/kelvin-aerolite-30-sleeping-bag
kelvin-aerolite-jacket	Kelvin Aerolite Jacket	jacket	https://www.sitkagear.com/products/kelvin-aerolite-jacket
kelvin-aerolite-vest	Kelvin Aerolite Vest	vest	https://www.sitkagear.com/products/kelvin-aerolite-vest
king-of-spring-hi-pro-trucker	King of Spring Hi Pro Trucker	hat	https://www.sitkagear.com/products/king-of-spring-hi-pro-trucker
king-of-spring-tee	King of Spring Tee	shirt	https://www.sitkagear.com/products/king-of-spring-tee
mens-2f-7-dakota-vest	Mens 2F.7 Dakota Vest	vest	https://www.sitkagear.com/products/mens-2f-7-dakota-vest
merino-330-beanie	Merino 330 Beanie	hat	https://www.sitkagear.com/products/merino-330-beanie
merino-330-glove	Merino 330 Glove	glove	https://www.sitkagear.com/products/merino-330-glove
mesa-air-pant	Mesa Air Pant	pant	https://www.sitkagear.com/products/mesa-air-pant
mesa-air-short-8-5	Mesa Air Short 8.5"	pant	https://www.sitkagear.com/products/mesa-air-short-8-5
mesa-pant	Mesa Pant	pant	https://www.sitkagear.com/products/mesa-pant
mesa-short-8-5-inch	Mesa Short 8.5"	pant	https://www.sitkagear.com/products/mesa-short-8-5-inch
microdown-hooded-jacket	Microdown Hooded Jacket	jacket	https://www.sitkagear.com/products/microdown-hooded-jacket
microdown-vest	Microdown Vest	vest	https://www.sitkagear.com/products/microdown-vest
mid-weight-crew-sock	Mid Weight Crew Sock	accessory	https://www.sitkagear.com/products/mid-weight-crew-sock
mid-weight-otc-sock	Mid Weight OTC Sock	accessory	https://www.sitkagear.com/products/mid-weight-otc-sock
mojave-ls-shirt	Mojave LS Shirt	shirt	https://www.sitkagear.com/products/mojave-ls-shirt
mojave-ss-shirt	Mojave SS Shirt	shirt	https://www.sitkagear.com/products/mojave-ss-shirt
mountain-hauler-2700	Mountain Hauler 2700	pack	https://www.sitkagear.com/products/mountain-hauler-2700
